,Invlog_Actual,Invlog_Predicted
0,882.5499877929688,878.194983543225
1,801.6500244140625,798.7094627299733
2,522.8499755859376,537.346076919742
3,545.7999877929686,548.9997327914919
4,367.7500000000001,375.0566115883048
5,380.1499938964845,362.31881658110615
6,607.0999755859373,605.5353478257009
7,334.85000610351557,345.98845226489664
8,908.7999877929686,927.7763058425722
9,533.9500122070311,543.5423619149691
10,556.5,545.048245000396
11,624.7000122070311,637.3937509489677
12,650.2999877929685,648.2387520864588
13,371.5499877929688,370.8408867693036
14,497.25000000000006,520.0519015513677
15,923.7000122070314,917.3131022598953
16,685.049987792969,680.9663303036969
17,802.0499877929686,815.6426173263502
18,718.4000244140626,731.384929081475
19,363.79998779296875,345.93158532589905
20,664.9500122070312,650.4021939029366
21,921.4000244140622,915.7484646085859
22,594.7499999999999,609.4725987305651
23,648.3499755859374,659.9355108226395
24,752.4000244140623,761.3778111005787
25,515.4500122070314,508.66311212670024
26,374.45001220703136,367.14366983897565
27,284.00000000000006,337.2511254264251
28,700.9000244140627,702.2331413620411
29,730.9000244140622,713.5148303497336
30,537.5999755859376,545.8164705332641
31,535.0499877929686,530.8702560388249
32,735.7000122070311,741.4453876313285
33,905.2999877929689,903.9331304438457
34,901.2500000000002,889.2554923755974
35,709.5499877929686,692.3472762699679
36,617.3499755859377,567.9875588107109
37,748.5499877929688,736.9508318308068
38,764.0499877929689,756.5412492561371
39,748.9000244140622,758.3086710128706
40,565.9000244140624,581.8359201290511
41,818.5999755859372,809.5049723612674
42,481.85000610351574,483.32749018628925
43,538.8499755859376,541.7385901926986
44,802.799987792969,785.3989243068348
45,743.2999877929689,740.6948075882166
46,713.2999877929685,706.9628166179431
47,824.7999877929689,817.8777934872631
48,697.6500244140626,709.2877055056613
49,531.7000122070311,535.4231398323241
50,755.5499877929686,761.5739720745088
51,701.3499755859376,702.86484829658
52,566.2000122070311,581.2176701521016
53,728.7999877929686,738.037579858999
54,608.2000122070312,596.0187642514551
55,892.2499999999997,906.301115694217
56,732.7499999999998,736.4518566620675
57,409.95001220703136,414.9102317508924
58,597.2999877929689,602.5178900036015
59,687.5000000000003,678.0483352816915
60,781.1500244140624,786.5415201416226
61,494.50000000000017,515.208382964547
62,320.1499938964845,344.82105590361977
63,351.8500061035155,355.54113082451073
64,873.2999877929686,850.9350182583246
65,714.6500244140625,686.0830486258491
66,542.0499877929689,549.53760152781
67,817.7500000000003,822.6547091616407
68,586.6500244140624,590.3072166673944
69,710.3499755859374,717.405355266566
70,630.8499755859377,625.8976559007915
71,655.9500122070315,647.7210084736491
72,824.700012207031,817.8158395686859
73,757.7999877929686,766.3613558411027
74,648.2000122070315,649.7451093241061
75,375.70001220703125,376.03932296525744
76,762.3499755859375,762.2595431160738
77,920.3499755859372,913.0592995921404
78,808.950012207031,814.0893425483798
79,907.8499755859375,922.7582936189734
80,528.2000122070312,537.503580217242
81,538.5499877929686,572.9265692317352
82,357.2000122070311,355.7495574569748
83,578.5999755859374,596.4877300610406
84,714.8499755859376,726.348558653077
85,402.8999938964844,419.9101252579513
86,391.0,400.1273818062705
87,740.9999999999998,748.2677522205232
88,711.8499755859376,715.4080385021906
89,764.7000122070311,743.2820357836001
90,632.9999999999998,647.1503811780376
91,735.7999877929689,729.1629611119938
92,537.1500244140623,537.2485740036943
93,327.3500061035155,340.7564784910192
94,707.4500122070314,716.8538999151397
95,392.20001220703125,389.42372930313167
96,908.5999755859376,910.9797593271106
97,890.6500244140624,902.2500449693274
98,736.0000000000003,731.0364967614614
99,677.3499755859374,703.284083167273
100,930.599975585938,944.8785411997094
101,622.3499755859375,609.2129364230032
102,861.0499877929689,891.2206161347336
103,571.2500000000002,589.5842656550691
104,868.3499755859374,875.8293006224636
105,709.5499877929686,720.403678940715
106,647.3499755859377,629.3811473697896
107,486.5499877929688,480.4727192404794
108,922.1500244140624,920.3579393296268
109,904.7000122070316,912.3535540146344
110,644.6500244140623,655.8447616136742
111,798.7000122070315,830.213760852032
112,878.9000244140628,895.9984840367322
113,677.9000244140624,685.7317446391913
114,690.2999877929686,712.9482959062785
115,370.7000122070313,370.687973059666
116,361.299987792969,365.6325283244511
117,447.2000122070312,432.72615844612477
118,533.1500244140626,549.4141925771638
119,369.20001220703125,357.63000845781886
120,362.85000610351574,359.1340439842264
121,740.1500244140625,734.3206912669438
122,404.04998779296886,394.9210096598309
123,764.0499877929689,778.3677631588374
124,530.9500122070314,537.9957493073833
